0. camidx = 0, ptidx = 0, projections: x = 1597.07, y = 473.37.
4620. camidx = 4, ptidx = 873, projections: x = 32.29, y = 241.31.
4621. camidx = 7, ptidx = 873, projections: x = -854.85, y = 243.22.
4622. camidx = 15, ptidx = 873, projections: x = 784.77, y = 90.54.
4623. camidx = 0, ptidx = 874, projections: x = -1080.83, y = 79.51.
4624. camidx = 4, ptidx = 874, projections: x = 10.01, y = 241.02.
4625. camidx = 7, ptidx = 874, projections: x = -884.73, y = 243.16.
4626. camidx = 14, ptidx = 874, projections: x = -81.05, y = 187.41.
4627. camidx = 15, ptidx = 874, projections: x = 759.57, y = 90.21.
4628. camidx = 16, ptidx = 874, projections: x = -439.54, y = 251.21.
4629. camidx = 0, ptidx = 875, projections: x = -1063.71, y = 80.02.
4630. camidx = 4, ptidx = 875, projections: x = 18.85, y = 241.65.
4631. camidx = 7, ptidx = 875, projections: x = -872.41, y = 244.31.
4632. camidx = 14, ptidx = 875, projections: x = -73.76, y = 187.81.
4633. camidx = 15, ptidx = 875, projections: x = 769.47, y = 91.23.
4634. camidx = 16, ptidx = 875, projections: x = -430.21, y = 252.15.
4635. camidx = 18, ptidx = 875, projections: x = -1376.34, y = -61.86.
4636. camidx = 20, ptidx = 875, projections: x = -1187.07, y = -255.8.
4637. camidx = 0, ptidx = 876, projections: x = -1122.71, y = 81.68.
4638. camidx = 4, ptidx = 876, projections: x = -9.29004, y = 241.39.
4639. camidx = 0, ptidx = 877, projections: x = -1150.53, y = 82.71.
4640. camidx = 4, ptidx = 877, projections: x = -22.47, y = 241.46.
4641. camidx = 7, ptidx = 877, projections: x = -929.67, y = 244.23.
4642. camidx = 14, ptidx = 877, projections: x = -107.52, y = 189.44.
4643. camidx = 15, ptidx = 877, projections: x = 722.99, y = 91.13.
4644. camidx = 0, ptidx = 878, projections: x = 629.03, y = 85.09.
4645. camidx = 4, ptidx = 878, projections: x = 930.33, y = 265.78.
4646. camidx = 0, ptidx = 879, projections: x = -1479.01, y = 92.24.
4647. camidx = 4, ptidx = 879, projections: x = -181.72, y = 241.49.
4648. camidx = 14, ptidx = 879, projections: x = -248.05, y = 195.97.
4649. camidx = 16, ptidx = 879, projections: x = -648.96, y = 247.37.
4650. camidx = 19, ptidx = 879, projections: x = 140.27, y = 121.12.
4651. camidx = 0, ptidx = 880, projections: x = -1479.01, y = 92.24.
4652. camidx = 4, ptidx = 880, projections: x = -181.72, y = 241.49.
4653. camidx = 14, ptidx = 880, projections: x = -248.05, y = 195.97.
4654. camidx = 16, ptidx = 880, projections: x = -648.96, y = 247.37.
4655. camidx = 19, ptidx = 880, projections: x = 140.27, y = 121.12.
4656. camidx = 0, ptidx = 881, projections: x = 802.95, y = 92.78.
4657. camidx = 4, ptidx = 881, projections: x = 1040.82, y = 277.01.
4658. camidx = 5, ptidx = 881, projections: x = 660.28, y = 664.45.
4659. camidx = 6, ptidx = 881, projections: x = -181.49, y = -56.34.
4660. camidx = 0, ptidx = 882, projections: x = 790.17, y = 95.03.
4661. camidx = 4, ptidx = 882, projections: x = 1032.61, y = 278.32.
4662. camidx = 5, ptidx = 882, projections: x = 648.92, y = 665.41.
4663. camidx = 0, ptidx = 883, projections: x = 929.1, y = 99.37.
4664. camidx = 8, ptidx = 883, projections: x = -66.6, y = 86.71.
4665. camidx = 0, ptidx = 884, projections: x = 798.13, y = 98.45.
4666. camidx = 4, ptidx = 884, projections: x = 1037.9, y = 280.97.
4667. camidx = 6, ptidx = 884, projections: x = -186.51, y = -48.57.
4668. camidx = 0, ptidx = 885, projections: x = 798.13, y = 98.45.
4669. camidx = 6, ptidx = 885, projections: x = -186.51, y = -48.57.
4670. camidx = 0, ptidx = 886, projections: x = -1390.59, y = 106.6.
4671. camidx = 7, ptidx = 886, projections: x = -1103.3, y = 258.55.
4672. camidx = 15, ptidx = 886, projections: x = 590.75, y = 102.18.
4673. camidx = 19, ptidx = 886, projections: x = 222.76, y = 137.12.
4674. camidx = 0, ptidx = 887, projections: x = 1026.12, y = 112.74.
4675. camidx = 4, ptidx = 887, projections: x = 1204.24, y = 306.4.
4676. camidx = 5, ptidx = 887, projections: x = 866.92, y = 722.38.
4677. camidx = 8, ptidx = 887, projections: x = 100.1, y = 101.58.
4678. camidx = 0, ptidx = 888, projections: x = 1005.39, y = 112.74.
4679. camidx = 6, ptidx = 888, projections: x = 59.08, y = -69.52.
4680. camidx = 0, ptidx = 889, projections: x = 1266.84, y = 113.93.
4681. camidx = 8, ptidx = 889, projections: x = -457.7, y = 337.62.
4682. camidx = 0, ptidx = 890, projections: x = 1282.97, y = 117.36.
4683. camidx = 8, ptidx = 890, projections: x = -411.08, y = 342.52.
4684. camidx = 0, ptidx = 891, projections: x = -1388.94, y = 129.78.
4685. camidx = 4, ptidx = 891, projections: x = -137.08, y = 261.68.
4686. camidx = 0, ptidx = 892, projections: x = 962.4, y = 131.16.
4687. camidx = 5, ptidx = 892, projections: x = 802.68, y = 724.66.
4688. camidx = 0, ptidx = 893, projections: x = 935.31, y = 132.31.
4689. camidx = 8, ptidx = 893, projections: x = -55.61, y = 136.35.
4690. camidx = 0, ptidx = 894, projections: x = 1006.55, y = 133.57.
4691. camidx = 4, ptidx = 894, projections: x = 1189.72, y = 318.25.
4692. camidx = 5, ptidx = 894, projections: x = 846.06, y = 736.55.
4693. camidx = 8, ptidx = 894, projections: x = 67.75, y = 135.32.
4694. camidx = 16, ptidx = 894, projections: x = 641.78, y = 341.09.
4695. camidx = 0, ptidx = 895, projections: x = 1140.88, y = 136.46.
4696. camidx = 4, ptidx = 895, projections: x = 1309.81, y = 337.82.
4697. camidx = 8, ptidx = 895, projections: x = 299.8, y = 128.14.
4698. camidx = 0, ptidx = 896, projections: x = -1402.66, y = 140.99.
4699. camidx = 4, ptidx = 896, projections: x = -144.93, y = 267.31.
4700. camidx = 7, ptidx = 896, projections: x = -1115.77, y = 285.71.
4701. camidx = 15, ptidx = 896, projections: x = 581.7, y = 122.07.
4702. camidx = 19, ptidx = 896, projections: x = 209.06, y = 170.21.
4703. camidx = 0, ptidx = 897, projections: x = 1135.42, y = 149.78.
4704. camidx = 4, ptidx = 897, projections: x = 1306.44, y = 347.43.
4705. camidx = 8, ptidx = 897, projections: x = 292.48, y = 146.83.
4706. camidx = 16, ptidx = 897, projections: x = 700.65, y = 366.05.
4707. camidx = 0, ptidx = 898, projections: x = 1001.14, y = 151.63.
4708. camidx = 4, ptidx = 898, projections: x = 1185.53, y = 328.77.
4709. camidx = 5, ptidx = 898, projections: x = 839.04, y = 749.34.
4710. camidx = 8, ptidx = 898, projections: x = 58.49, y = 162.2.
4711. camidx = 0, ptidx = 899, projections: x = -1388.34, y = 152.45.
4712. camidx = 4, ptidx = 899, projections: x = -137.27, y = 273.16.
4713. camidx = 0, ptidx = 900, projections: x = 989.99, y = 164.27.
4714. camidx = 4, ptidx = 900, projections: x = 1177.26, y = 336.08.
4715. camidx = 5, ptidx = 900, projections: x = 827.26, y = 756.68.
4716. camidx = 8, ptidx = 900, projections: x = 39.92, y = 184.35.
4717. camidx = 0, ptidx = 901, projections: x = -1387.58, y = 164.42.
4718. camidx = 4, ptidx = 901, projections: x = -137.53, y = 279.32.
4719. camidx = 7, ptidx = 901, projections: x = -1102.67, y = 304.17.
4720. camidx = 14, ptidx = 901, projections: x = -206.94, y = 228.57.
4721. camidx = 15, ptidx = 901, projections: x = 591.57, y = 135.59.
4722. camidx = 19, ptidx = 901, projections: x = 223.82, y = 193.36.
4723. camidx = 0, ptidx = 902, projections: x = 538.09, y = 166.51.
4724. camidx = 5, ptidx = 902, projections: x = 435.42, y = 680.81.
4725. camidx = 6, ptidx = 902, projections: x = -559.96, y = 101.21.
4726. camidx = 0, ptidx = 903, projections: x = 1097.86, y = 171.94.
4727. camidx = 4, ptidx = 903, projections: x = 1279.89, y = 362.48.
4728. camidx = 8, ptidx = 903, projections: x = 239.28, y = 181.17.
4729. camidx = 0, ptidx = 904, projections: x = 996.39, y = 176.16.
4730. camidx = 8, ptidx = 904, projections: x = 52.52, y = 200.22.
4731. camidx = 16, ptidx = 904, projections: x = 636.83, y = 366.3.
4732. camidx = 0, ptidx = 905, projections: x = 1593.74, y = 177.69.
4733. camidx = 5, ptidx = 905, projections: x = 1205.08, y = 807.4.
4734. camidx = 6, ptidx = 905, projections: x = 877.49, y = 35.27.
4735. camidx = 7, ptidx = 905, projections: x = 920.35, y = 323.35.
4736. camidx = 0, ptidx = 906, projections: x = 935.99, y = 181.3.
4737. camidx = 8, ptidx = 906, projections: x = -52.71, y = 212.02.
4738. camidx = 16, ptidx = 906, projections: x = 607.64, y = 363.94.
4739. camidx = 0, ptidx = 907, projections: x = -1379.77, y = 181.05.
4740. camidx = 4, ptidx = 907, projections: x = -134.54, y = 287.96.
4741. camidx = 5, ptidx = 907, projections: x = -918.08, y = 454.18.
4742. camidx = 14, ptidx = 907, projections: x = -203.96, y = 236.03.
4743. camidx = 15, ptidx = 907, projections: x = 595.15, y = 145.41.
4744. camidx = 19, ptidx = 907, projections: x = 229.97, y = 209.8.
4745. camidx = 0, ptidx = 908, projections: x = 974.43, y = 182.27.
4746. camidx = 4, ptidx = 908, projections: x = 1164.92, y = 345.64.
4747. camidx = 6, ptidx = 908, projections: x = 30.21, y = 19.84.
4748. camidx = 8, ptidx = 908, projections: x = 13.1, y = 211.24.
4749. camidx = 16, ptidx = 908, projections: x = 626.68, y = 367.55.
4750. camidx = 0, ptidx = 909, projections: x = 989.56, y = 184.18.
4751. camidx = 4, ptidx = 909, projections: x = 1177.94, y = 348.17.
4752. camidx = 5, ptidx = 909, projections: x = 826.55, y = 772.97.
4753. camidx = 8, ptidx = 909, projections: x = 40.47, y = 213.13.
4754. camidx = 16, ptidx = 909, projections: x = 634, y = 369.16.
4755. camidx = 0, ptidx = 910, projections: x = 713.88, y = 183.68.
4756. camidx = 4, ptidx = 910, projections: x = 985.08, y = 326.53.
4757. camidx = 5, ptidx = 910, projections: x = 577.12, y = 721.88.
4758. camidx = 0, ptidx = 911, projections: x = 754.41, y = 185.82.
4759. camidx = 4, ptidx = 911, projections: x = 1010.72, y = 329.73.
4760. camidx = 0, ptidx = 912, projections: x = 677.66, y = 189.79.
4761. camidx = 5, ptidx = 912, projections: x = 546.43, y = 720.83.
4762. camidx = 0, ptidx = 913, projections: x = 677.66, y = 189.79.
4763. camidx = 5, ptidx = 913, projections: x = 546.41, y = 720.63.
4764. camidx = 0, ptidx = 914, projections: x = -1685.25, y = 201.98.
4765. camidx = 4, ptidx = 914, projections: x = -292.67, y = 296.51.
4766. camidx = 19, ptidx = 914, projections: x = -67.4399, y = 218.89.
4767. camidx = 0, ptidx = 915, projections: x = -1718.78, y = 202.2.
4768. camidx = 4, ptidx = 915, projections: x = -310.16, y = 296.03.
4769. camidx = 0, ptidx = 916, projections: x = -920.97, y = 205.03.
4770. camidx = 4, ptidx = 916, projections: x = 82.28, y = 310.97.
4771. camidx = 7, ptidx = 916, projections: x = -792.52, y = 345.85.
4772. camidx = 14, ptidx = 916, projections: x = -23.4, y = 243.91.
4773. camidx = 15, ptidx = 916, projections: x = 840.79, y = 170.57.
4774. camidx = 0, ptidx = 917, projections: x = -1450.76, y = 205.16.
4775. camidx = 4, ptidx = 917, projections: x = -169.91, y = 299.45.
4776. camidx = 14, ptidx = 917, projections: x = -236.87, y = 247.53.
4777. camidx = 15, ptidx = 917, projections: x = 553.01, y = 158.7.
4778. camidx = 19, ptidx = 917, projections: x = 162.17, y = 230.55.
4779. camidx = 0, ptidx = 918, projections: x = 904.27, y = 205.51.
4780. camidx = 4, ptidx = 918, projections: x = 1113.08, y = 353.16.
4781. camidx = 8, ptidx = 918, projections: x = -109.11, y = 253.06.
4782. camidx = 0, ptidx = 919, projections: x = -827.59, y = 206.6.
4783. camidx = 4, ptidx = 919, projections: x = 122.68, y = 316.07.
4784. camidx = 19, ptidx = 919, projections: x = 708.14, y = 252.62.
4785. camidx = 0, ptidx = 920, projections: x = -827.59, y = 206.6.
4786. camidx = 4, ptidx = 920, projections: x = 122.68, y = 316.07.
4787. camidx = 15, ptidx = 920, projections: x = 882.03, y = 175.78.
4788. camidx = 19, ptidx = 920, projections: x = 708.14, y = 252.62.
4789. camidx = 0, ptidx = 921, projections: x = -982.09, y = 207.05.
4790. camidx = 4, ptidx = 921, projections: x = 53.54, y = 310.
4791. camidx = 0, ptidx = 922, projections: x = 661.62, y = 210.1.
4792. camidx = 4, ptidx = 922, projections: x = 952.51, y = 339.5.
4793. camidx = 6, ptidx = 922, projections: x = -367.59, y = 129.48.
4794. camidx = 0, ptidx = 923, projections: x = 799.69, y = 211.08.
4795. camidx = 4, ptidx = 923, projections: x = 1040.53, y = 347.82.
4796. camidx = 5, ptidx = 923, projections: x = 645.83, y = 757.48.
4797. camidx = 0, ptidx = 924, projections: x = -1583.05, y = 215.23.
4798. camidx = 4, ptidx = 924, projections: x = -239.83, y = 303.77.
4799. camidx = 0, ptidx = 925, projections: x = -1133.06, y = 217.81.
4800. camidx = 4, ptidx = 925, projections: x = -16.73, y = 311.22.
4801. camidx = 7, ptidx = 925, projections: x = -923.24, y = 349.69.
4802. camidx = 15, ptidx = 925, projections: x = 730.42, y = 171.46.
4803. camidx = 16, ptidx = 925, projections: x = -470.6, y = 326.85.
4804. camidx = 19, ptidx = 925, projections: x = 453.17, y = 254.23.
4805. camidx = 0, ptidx = 926, projections: x = 869.68, y = 219.41.
4806. camidx = 4, ptidx = 926, projections: x = 1089.23, y = 359.98.
4807. camidx = 0, ptidx = 927, projections: x = 869.68, y = 219.41.
4808. camidx = 4, ptidx = 927, projections: x = 1089.23, y = 359.98.
4809. camidx = 5, ptidx = 927, projections: x = 707.65, y = 778.14.
4810. camidx = 6, ptidx = 927, projections: x = -89.31, y = 90.34.
4811. camidx = 8, ptidx = 927, projections: x = -166.13, y = 277.7.
4812. camidx = 0, ptidx = 928, projections: x = -927.39, y = 220.
4813. camidx = 4, ptidx = 928, projections: x = 78.65, y = 318.66.
4814. camidx = 14, ptidx = 928, projections: x = -26.58, y = 250.69.
4815. camidx = 16, ptidx = 928, projections: x = -373.05, y = 335.85.
4816. camidx = 18, ptidx = 928, projections: x = -1320.18, y = 36.16.
4817. camidx = 0, ptidx = 929, projections: x = 1531.6, y = 223.93.
4818. camidx = 8, ptidx = 929, projections: x = 772.2, y = 282.39.
4819. camidx = 0, ptidx = 930, projections: x = -982.25, y = 225.04.
4820. camidx = 4, ptidx = 930, projections: x = 52.8, y = 319.63.
4821. camidx = 0, ptidx = 931, projections: x = -1583.55, y = 224.92.
4822. camidx = 4, ptidx = 931, projections: x = -239.7, y = 308.49.
4823. camidx = 15, ptidx = 931, projections: x = 471.85, y = 169.3.
4824. camidx = 19, ptidx = 931, projections: x = 31.51, y = 244.5.
4825. camidx = 0, ptidx = 932, projections: x = -934.52, y = 225.85.
4826. camidx = 4, ptidx = 932, projections: x = 75.4, y = 321.61.
4827. camidx = 7, ptidx = 932, projections: x = -803.45, y = 361.76.
4828. camidx = 10, ptidx = 932, projections: x = -1215.84, y = -352.81.
4829. camidx = 14, ptidx = 932, projections: x = -29.39, y = 253.49.
4830. camidx = 15, ptidx = 932, projections: x = 832.44, y = 182.49.
4831. camidx = 16, ptidx = 932, projections: x = -377.06, y = 339.16.
4832. camidx = 19, ptidx = 932, projections: x = 623.94, y = 268.45.
4833. camidx = 0, ptidx = 933, projections: x = -1669.71, y = 226.92.
4834. camidx = 4, ptidx = 933, projections: x = -285, y = 308.59.
4835. camidx = 19, ptidx = 933, projections: x = -52.7, y = 244.74.
4836. camidx = 0, ptidx = 934, projections: x = 888.78, y = 228.05.
4837. camidx = 4, ptidx = 934, projections: x = 1102.62, y = 366.18.
4838. camidx = 5, ptidx = 934, projections: x = 724.13, y = 787.84.
4839. camidx = 8, ptidx = 934, projections: x = -134.37, y = 288.4.
4840. camidx = 0, ptidx = 935, projections: x = 1626.53, y = 228.88.
4841. camidx = 8, ptidx = 935, projections: x = 903.04, y = 290.47.
4842. camidx = 16, ptidx = 935, projections: x = 997.71, y = 373.28.
4843. camidx = 17, ptidx = 935, projections: x = -860.8, y = 497.7.
4844. camidx = 0, ptidx = 936, projections: x = 674.64, y = 233.22.
4845. camidx = 4, ptidx = 936, projections: x = 960.96, y = 353.43.
4846. camidx = 5, ptidx = 936, projections: x = 539.57, y = 753.18.
4847. camidx = 0, ptidx = 937, projections: x = -1068.14, y = 233.64.
4848. camidx = 4, ptidx = 937, projections: x = 14, y = 321.3.
4849. camidx = 7, ptidx = 937, projections: x = -881.15, y = 363.56.
4850. camidx = 10, ptidx = 937, projections: x = -1287.14, y = -349.75.
4851. camidx = 14, ptidx = 937, projections: x = -75.69, y = 257.93.
4852. camidx = 15, ptidx = 937, projections: x = 764.61, y = 182.81.
4853. camidx = 16, ptidx = 937, projections: x = -438.94, y = 338.02.
4854. camidx = 19, ptidx = 937, projections: x = 510.4, y = 272.09.
4855. camidx = 0, ptidx = 938, projections: x = -1238.87, y = 236.71.
4856. camidx = 4, ptidx = 938, projections: x = -67.11, y = 319.01.
4857. camidx = 7, ptidx = 938, projections: x = -995.82, y = 362.7.
4858. camidx = 14, ptidx = 938, projections: x = -143.49, y = 260.58.
4859. camidx = 15, ptidx = 938, projections: x = 672.68, y = 180.48.
4860. camidx = 16, ptidx = 938, projections: x = -524.67, y = 334.7.
4861. camidx = 19, ptidx = 938, projections: x = 357.75, y = 269.18.
4862. camidx = 0, ptidx = 939, projections: x = -1281.53, y = 237.15.
4863. camidx = 4, ptidx = 939, projections: x = -88.18, y = 318.56.
4864. camidx = 19, ptidx = 939, projections: x = 317.16, y = 268.09.
4865. camidx = 0, ptidx = 940, projections: x = -1074.72, y = 240.2.
4866. camidx = 4, ptidx = 940, projections: x = 10.3101, y = 324.73.
4867. camidx = 7, ptidx = 940, projections: x = -886.67, y = 368.68.
4868. camidx = 14, ptidx = 940, projections: x = -79.06, y = 260.93.
4869. camidx = 15, ptidx = 940, projections: x = 760.16, y = 186.78.
4870. camidx = 16, ptidx = 940, projections: x = -442.88, y = 341.87.
4871. camidx = 0, ptidx = 941, projections: x = -1459.37, y = 241.36.
4872. camidx = 4, ptidx = 941, projections: x = -175.11, y = 317.66.
4873. camidx = 14, ptidx = 941, projections: x = -241.01, y = 264.24.
4874. camidx = 15, ptidx = 941, projections: x = 547.54, y = 179.07.
4875. camidx = 16, ptidx = 941, projections: x = -645.71, y = 332.03.
4876. camidx = 19, ptidx = 941, projections: x = 152.23, y = 264.77.
4877. camidx = 0, ptidx = 942, projections: x = -1199.32, y = 242.02.
4878. camidx = 4, ptidx = 942, projections: x = -48.16, y = 322.5.
4879. camidx = 7, ptidx = 942, projections: x = -967.81, y = 367.6.
4880. camidx = 15, ptidx = 942, projections: x = 694.95, y = 184.28.
4881. camidx = 0, ptidx = 943, projections: x = -1623.62, y = 245.16.
4882. camidx = 4, ptidx = 943, projections: x = -262.15, y = 318.93.
4883. camidx = 14, ptidx = 943, projections: x = -324.55, y = 267.71.
4884. camidx = 15, ptidx = 943, projections: x = 445.14, y = 180.93.
4885. camidx = 19, ptidx = 943, projections: x = -9.94995, y = 262.5.
4886. camidx = 0, ptidx = 944, projections: x = 857.65, y = 245.71.
4887. camidx = 4, ptidx = 944, projections: x = 1081.24, y = 374.02.
4888. camidx = 5, ptidx = 944, projections: x = 694.81, y = 795.67.
4889. camidx = 8, ptidx = 944, projections: x = -186.56, y = 318.82.
4890. camidx = 0, ptidx = 945, projections: x = 857.65, y = 245.71.
4891. camidx = 4, ptidx = 945, projections: x = 1081.24, y = 374.02.
4892. camidx = 5, ptidx = 945, projections: x = 694.81, y = 795.67.
4893. camidx = 8, ptidx = 945, projections: x = -186.56, y = 318.82.
4894. camidx = 0, ptidx = 946, projections: x = 1083.16, y = 246.91.
4895. camidx = 6, ptidx = 946, projections: x = 129.97, y = 48.58.
4896. camidx = 0, ptidx = 947, projections: x = 762.24, y = 249.14.
4897. camidx = 4, ptidx = 947, projections: x = 1016.6, y = 367.12.
4898. camidx = 5, ptidx = 947, projections: x = 609.85, y = 779.16.
4899. camidx = 0, ptidx = 948, projections: x = -1237.44, y = 248.83.
4900. camidx = 4, ptidx = 948, projections: x = -66.84, y = 325.07.
4901. camidx = 0, ptidx = 949, projections: x = -1432.06, y = 248.54.
4902. camidx = 4, ptidx = 949, projections: x = -162.65, y = 321.82.
4903. camidx = 14, ptidx = 949, projections: x = -229.52, y = 267.54.
4904. camidx = 15, ptidx = 949, projections: x = 561.94, y = 184.23.
4905. camidx = 19, ptidx = 949, projections: x = 176.27, y = 273.33.
4906. camidx = 0, ptidx = 950, projections: x = 754.84, y = 250.79.
4907. camidx = 5, ptidx = 950, projections: x = 603.7, y = 779.49.
4908. camidx = 0, ptidx = 951, projections: x = 629.02, y = 250.8.
4909. camidx = 4, ptidx = 951, projections: x = 932.24, y = 360.28.
4910. camidx = 7, ptidx = 951, projections: x = 279.77, y = 387.77.
4911. camidx = 10, ptidx = 951, projections: x = -215.26, y = -343.92.
4912. camidx = 11, ptidx = 951, projections: x = 359.71, y = 213.18.
4913. camidx = 12, ptidx = 951, projections: x = -832.83, y = -449.76.
4914. camidx = 13, ptidx = 951, projections: x = -1650.13, y = 710.09.
4915. camidx = 18, ptidx = 951, projections: x = -450.67, y = 55.98.
4916. camidx = 20, ptidx = 951, projections: x = -382, y = -149.52.
4917. camidx = 0, ptidx = 952, projections: x = -1533.36, y = 250.94.
4918. camidx = 4, ptidx = 952, projections: x = -211.55, y = 321.38.
4919. camidx = 15, ptidx = 952, projections: x = 506.44, y = 183.65.
4920. camidx = 16, ptidx = 952, projections: x = -687.21, y = 335.53.
4921. camidx = 19, ptidx = 952, projections: x = 84.5601, y = 272.14.
4922. camidx = 0, ptidx = 953, projections: x = -1662.7, y = 251.97.
4923. camidx = 4, ptidx = 953, projections: x = -282.52, y = 322.02.
4924. camidx = 5, ptidx = 953, projections: x = -1127.45, y = 468.73.
4925. camidx = 0, ptidx = 954, projections: x = -1358.84, y = 252.68.
4926. camidx = 4, ptidx = 954, projections: x = -125.79, y = 324.78.
4927. camidx = 7, ptidx = 954, projections: x = -1087.16, y = 373.94.
4928. camidx = 19, ptidx = 954, projections: x = 246.54, y = 279.86.
4929. camidx = 0, ptidx = 955, projections: x = -1368.71, y = 253.65.
4930. camidx = 4, ptidx = 955, projections: x = -129.92, y = 325.09.
4931. camidx = 7, ptidx = 955, projections: x = -1093.13, y = 374.88.
4932. camidx = 15, ptidx = 955, projections: x = 600.61, y = 187.49.
4933. camidx = 19, ptidx = 955, projections: x = 237.36, y = 280.77.
4934. camidx = 0, ptidx = 956, projections: x = -1590.07, y = 253.79.
4935. camidx = 4, ptidx = 956, projections: x = -244.5, y = 323.37.
4936. camidx = 5, ptidx = 956, projections: x = -1076.42, y = 478.82.
4937. camidx = 14, ptidx = 956, projections: x = -306.72, y = 271.29.
4938. camidx = 15, ptidx = 956, projections: x = 465.96, y = 185.96.
4939. camidx = 16, ptidx = 956, projections: x = -729.71, y = 336.78.
4940. camidx = 0, ptidx = 957, projections: x = -1383.1, y = 255.59.
4941. camidx = 4, ptidx = 957, projections: x = -137.57, y = 325.77.
4942. camidx = 19, ptidx = 957, projections: x = 224.71, y = 282.25.
4943. camidx = 0, ptidx = 958, projections: x = 558.98, y = 263.59.
4944. camidx = 4, ptidx = 958, projections: x = 889.76, y = 364.08.
4945. camidx = 7, ptidx = 958, projections: x = 244.03, y = 393.78.
4946. camidx = 0, ptidx = 959, projections: x = 558.98, y = 263.59.
4947. camidx = 7, ptidx = 959, projections: x = 244.03, y = 393.78.
4948. camidx = 0, ptidx = 960, projections: x = -1377.03, y = 274.23.
4949. camidx = 4, ptidx = 960, projections: x = -134.7, y = 335.63.
4950. camidx = 7, ptidx = 960, projections: x = -1100.98, y = 391.02.
4951. camidx = 15, ptidx = 960, projections: x = 595.45, y = 199.65.
4952. camidx = 16, ptidx = 960, projections: x = -601.16, y = 352.11.
4953. camidx = 19, ptidx = 960, projections: x = 229.2, y = 300.65.
4954. camidx = 0, ptidx = 961, projections: x = -1592.37, y = 278.11.
4955. camidx = 4, ptidx = 961, projections: x = -246.68, y = 335.88.
4956. camidx = 0, ptidx = 962, projections: x = 682.11, y = 281.15.
4957. camidx = 4, ptidx = 962, projections: x = 965.71, y = 381.59.
4958. camidx = 5, ptidx = 962, projections: x = 540.15, y = 790.4.
4959. camidx = 6, ptidx = 962, projections: x = -330.8, y = 223.58.
4960. camidx = 0, ptidx = 963, projections: x = -892.94, y = 284.99.
4961. camidx = 4, ptidx = 963, projections: x = 92.88, y = 354.89.
4962. camidx = 15, ptidx = 963, projections: x = 850.87, y = 220.72.
4963. camidx = 19, ptidx = 963, projections: x = 654.66, y = 329.08.
4964. camidx = 0, ptidx = 964, projections: x = -1376.59, y = 285.84.
4965. camidx = 4, ptidx = 964, projections: x = -135.32, y = 341.54.
4966. camidx = 7, ptidx = 964, projections: x = -1101.54, y = 400.45.
4967. camidx = 16, ptidx = 964, projections: x = -601.9, y = 358.56.
4968. camidx = 19, ptidx = 964, projections: x = 228.91, y = 311.86.
4969. camidx = 0, ptidx = 965, projections: x = -1604.51, y = 290.34.
4970. camidx = 4, ptidx = 965, projections: x = -253.05, y = 341.95.
4971. camidx = 14, ptidx = 965, projections: x = -314.86, y = 288.34.
4972. camidx = 16, ptidx = 965, projections: x = -739, y = 357.45.
4973. camidx = 19, ptidx = 965, projections: x = 6.77002, y = 306.45.
4974. camidx = 0, ptidx = 966, projections: x = -1604.51, y = 290.34.
4975. camidx = 4, ptidx = 966, projections: x = -253.05, y = 341.95.
4976. camidx = 14, ptidx = 966, projections: x = -314.86, y = 288.34.
4977. camidx = 19, ptidx = 966, projections: x = 6.77002, y = 306.45.
4978. camidx = 0, ptidx = 967, projections: x = -889.75, y = 291.15.
4979. camidx = 4, ptidx = 967, projections: x = 94.07, y = 358.31.
4980. camidx = 0, ptidx = 968, projections: x = -869.29, y = 292.79.
4981. camidx = 4, ptidx = 968, projections: x = 102.97, y = 360.18.
4982. camidx = 14, ptidx = 968, projections: x = -9.94, y = 283.97.
4983. camidx = 15, ptidx = 968, projections: x = 861.98, y = 226.66.
4984. camidx = 0, ptidx = 969, projections: x = 622.6, y = 301.23.
4985. camidx = 4, ptidx = 969, projections: x = 928.75, y = 388.13.
4986. camidx = 5, ptidx = 969, projections: x = 489.78, y = 795.13.
4987. camidx = 7, ptidx = 969, projections: x = 276.53, y = 422.82.
4988. camidx = 0, ptidx = 970, projections: x = -1532.32, y = 302.74.
4989. camidx = 4, ptidx = 970, projections: x = -212.52, y = 347.96.
4990. camidx = 14, ptidx = 970, projections: x = -274.72, y = 293.41.
4991. camidx = 19, ptidx = 970, projections: x = 82.93, y = 321.73.
4992. camidx = 0, ptidx = 971, projections: x = -1590.56, y = 302.9.
4993. camidx = 4, ptidx = 971, projections: x = -245.71, y = 348.59.
4994. camidx = 5, ptidx = 971, projections: x = -1083.87, y = 513.45.
4995. camidx = 15, ptidx = 971, projections: x = 465.08, y = 214.22.
4996. camidx = 16, ptidx = 971, projections: x = -731.73, y = 365.09.
4997. camidx = 19, ptidx = 971, projections: x = 20.5, y = 319.19.
4998. camidx = 0, ptidx = 972, projections: x = -1383.95, y = 305.24.
4999. camidx = 4, ptidx = 972, projections: x = -139.28, y = 351.27.
5000. camidx = 5, ptidx = 972, projections: x = -940.96, y = 540.03.
5001. camidx = 7, ptidx = 972, projections: x = -1106.95, y = 415.36.
5002. camidx = 15, ptidx = 972, projections: x = 590.58, y = 217.44.
5003. camidx = 16, ptidx = 972, projections: x = -605.91, y = 369.45.
5004. camidx = 19, ptidx = 972, projections: x = 222.07, y = 330.55.
